Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
10,4wxdBzAi_1_10,Maja Šuput & EnJoy,Maja Šuput,Jer mi tebe nema,13081,"Ti si kao sjena
sto se jutrom bori
ja sam opijena
hajde mi odgovori

Da l' si mene varao
zimi, nocu, danju
sto cu sada sama
jer mi tebe neme
jer mi tebe nema
 
Ref.
Ne, ne, ne pitaj me
sto cu ove dane
kad mi sunce svane
jer mi tebe nema
jer mi tebe nema tu

Ne, ne, ne pitaj me
sto cu ove dane
dok mi srce stane
jer mi tebe nema
jer mi tebe nema tu

Ti si mene ljubio
zimi, nocu, danju
sto cu sada sama
jer mi tebe nema
jer mi tebe nema tu

Ref.","https://tekstovi.net/2,630,15001.html",,,,,,,,['Marko Tomasović'],['Marko Tomasović'],['Aleksandar Valenčić'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/jer-mi-tebe-nema-1735.htm,Jer mi tebe nema,,,,"Ti si kao sjena
Što se jutrom bori
Ja sam opijena
Hajde mi odgovori:

Dal' si mene varao?
Zimi, noću, danju
Što ću sada sama
Jer mi tebe nema
Jer mi tebe nema

Ne, ne, ne pitaj me
Što ću ove dane
Kad mi sunce svane
Jer mi tebe nema
Jer mi tebe nema

Ne, ne, ne pitaj me
Što ću ove dane
Dok mi srce stane
Jer mi tebe nema
Jer mi tebe nema tu

Ti si mene ljubio
Zimi, noću, danju
Što ću sada sama
Jer mi tebe nema
Jer mi tebe nema",Jer mi tebe nema,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/jer-mi-tebe-nema.html
11,4wxdBzAi_1_11,Maja Šuput & EnJoy,Maja Šuput,Kad me tvoja ljubav prekrije,7650,"Odavno si moja zelja, cilj zivotu mom
jer je meni jako dobro u narucju tvom
sa sjevera dok mi idu hladni vjetrovi
ti me palis, na me bacas cini ljubavi

Ref.
Dobro mi je, dobro mi je tu
skrivenoj u tvome narucju
dobro mi je, dobro, najbolje
kad me tvoja ljubav prekrije
 
Toplo mi je, toplo mi je tu
skrivenoj u tvome narucju
dobro mi je, dobro, najbolje
kad me tvoja ljubav prekrije

Jutro zimsko na prozoru, kesten mirise
u sobi je puno svega, tebe najvise
toplo mi je dok odjevam jos u polusnu
kosulju od tvoga tijela, meku, svilenu

Ref.","https://tekstovi.net/2,630,15002.html",,,,,,,,,,,,,,,,,"Odavno si moja želja
Cilj životu mom
Jer je meni jako dobro
U naručju tvom

Sa sjevera dok mi idu
Hladni vjetrovi
Ti me pališ, na me bacaš
Čini ljubavi

Dobro mi je, dobro mi je tu
Skrivenoj u tvome naručju
Dobro mi je, dobro, najbolje
Kad me tvoja ljubav prekrije

Toplo mi je, toplo mi je tu
Skrivenoj u tvome naručju
Dobro mi je, dobro, najbolje
Kad me tvoja ljubav prekrije

Jutro zimsko na prozoru
Kesten miriše
U sobi je puno svega
Tebe najviše

Toplo mi je
Dok odijevam još u polusnu
Košulju od tvoga tijela
Meku, svilenu",Kad me tvoja ljubav prekrije,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/kad-me-tvoja-ljubav-prekrije.html
12,4wxdBzAi_1_12,Maja Šuput & EnJoy,Maja Šuput,Kad sklopim oci,9761,"O tebi vijesti sve ce rjedje srcu stizati
a ja cu dane k'o djerdane tuge nizati
niti glasam niti pismo
valjda tako skupa htjeli smo

Ref.
Svaki put kad sklopim oci
cini mi se da ces doci
da korake tvoje cujem, povjerujem
laz je kao otrov, samu sebe trujem
 
Usne su nijeme al' se vidi sve iz pogleda
to poraz moj je i jos jedna tvoja pobjeda
niti glasa, niti pismo
valjda tako skupa htjeli smo

Ref.

Svaki put kad sklopim oci
i cini mi se da ces doci
k'o da vecer malo vise zamirise
na poljupce tvoje
i na prve kise, i na prve kise","https://tekstovi.net/2,630,21875.html",,,,,,,,['Denis Dumančić'],['Faruk Buljubašić Fayo'],['Miroslav Lesić Lesique'],['Maja Šuput'],https://diskografija.com/pjesma/kad-sklopim-oci-10161.htm,Kad sklopim oči,2006 - Dora 2006,2006 - Obori me s nogu,,,,
13,4wxdBzAi_1_13,Maja Šuput & EnJoy,Maja Šuput,Ljubila sam kao mala,18795,"Ljubila sam kao mala 
vise ne znam ja
nije igra niti sala
sad sam odrasla

Dragi, cure zele da te dijele
mene briga, nisam vise ta
jedna zove dvije nove
a ja bih htjela biti jedina
 
I zato idi, idi od mene
netko treba takve
a ja necu nikad ne

Ref.
Ljubila sam kao mala 
vise ne znam ja
nije igra niti sala
sad sam odrasla

Nemam nikog da me voli
ko sto volim ja
ljubila sam kao mala
sad sam odrasla

Ne vjerujem tebi vise
jednom davno sam se zaklela
znam uvijek tvoje usne
neku ljube bar u mislima

I zato idi, idi od mene
netko treba takve
a ja necu nikad, ne

Ref. 3x

","https://tekstovi.net/2,630,14825.html",,,,,,,,['Marko Tomasović'],['Marko Tomasović'],['Branimir Mihaljević'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/ljubila-sam-kao-mala-2491.htm,Ljubila sam kao mala,,,,"Ljubila sam kao mala
Više ne znam ja
Nije igra niti šala
Sad sam odrasla

Dragi, cure žele da te dijele
Mene briga, nisam više ta
Jedna zove, dvije nove
A ja bih htjela biti jedina

I zato- idi, idi od mene
Netko treba takve
A ja neću nikad ne
o... o... o... Pa kaže:

Ljubila sam kao mala
Više ne znam ja
Nije igra niti šala
Sad sam odrasla
Nemam nikog da me voli
Ko što volim ja
Ljubila sam kao mala
Sad sam odrasla

Ne vjerujem tebi više
Jednom davno sam se zaklela
Znam da uvijek tvoje usne
Neku ljube bar u mislima

I zato- idi, idi...

Ljubila sam...",Ljubila sam kao mala,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/ljubila-sam-kao-mala.html
14,4wxdBzAi_1_14,Maja Šuput & EnJoy,Maja Šuput,Neka dobro je,8458,"Vidim suzu u oku tvom
najdrazem mom srcu jedinom
ti i ne znas kako je
jer ne volis me, ne volis, zar ne

Ja nikad ne bih sa tobom
u srcu mom bi bio lom

Ref.
Samo neka, neka dobro je
neka traje, nikad ne stane
samo neka, neka dobro je
ja idem dalje, al' nikud bez tebe
nikud bez tebe","https://tekstovi.net/2,630,15003.html",,,,,,,,['Marko Tomasović'],['Ivica Tomurad'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/neka-dobro-je-1737.htm,Neka dobro je,,,,"Vidim suzu u oku tvom
Najdražem mom
Srcu jedinom...

Ti i neznaš kako je,
Jer ne voliš me,
Ne voliš, zar ne?

Ja nikad ne bih sa tobom
U srcu mom bi bio lom

Samo neka, neka dobro je
Neka traje, nikad ne stane
Samo neka, neka dobro je
Ja idem dalje, al' nikud bez tebe
Nikud bez tebe...",Neka dobro je,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/neka-dobro-je.html
15,4wxdBzAi_1_15,Maja Šuput & EnJoy,Maja Šuput,Nemam ja nikoga,10393,"Danima, danima 
ja ne znam sto me zanima
na moj prozor 
sunce nece danima 
svaki korak tebi krece
da sam sretna lazem ljudima
 
Nocima, tebi zure 
suze sve u ocima
da te nadju, da te slome
nocima, da te vrate 
tijelu mome
da mi spavas tu na grudima

Ref.
Jer nemam ja nikoga
do tebe jednoga
ne, nemam ja nikoga
ljubav me izdala

E, da si tu, da si tu
da se sreca za mnom okrene
jer nemam ja nikoga
ti si zivot za mene

Danima, da te vidim 
samo to me zanima
sve sto imam, sve je tvoje
danima, tebe ceka srce moje
kao dobru vijest na vratima

Ref.","https://tekstovi.net/2,630,14826.html",,Nemam ja nikoga,I Don't Have Anyone,Joy,"Danima, danima ja ne znam
Što me zanima
Na moj prozor sunce neće
Danima, svaki korak tebi kreće
Da sam sretna lažem ljudima. Noćima, tebi žure suze sve
U očima,
Da te nađu, da te slome
Noćima, da te vrate tijelu mome
Da mi spavaš tu na grudima. Jer nemam ja nikoga
Do tebe jednoga
Ne, nemam ja nikoga
Ljubav me izdala. E da si tu, da si tu
Da se sreća za mnom okrene
Jer nemam ja nikoga
Ti si život za mene. Danima, da te vidim
Samo to me zanima
Sve što imam sve je tvoje
Danima, tebe čeka srce moje
Kao dobru vijest na vratima. Noćima, tebi žure suze sve
U očima,
Da te nađu, da te slome
Noćima, da te vrate tijelu mome
Da mi spavaš tu na grudima","For days, for days I don't know
What I'm interested in
Sun won't come to my window
For days, every step heads your way
I lie to people that I'm happy. In the nights, all the tears head your way
In the eyes
To find you, to break you
In the nights, to bring you back to my body
So you'd sleep here on my chest. Because I don't have anyone
But you, the only one
No, I have no one
Love betrayed me. Oh, if you were here, if you were here
If only luck would turn my way
Because I don't have anyone
You mean the life to me. For days, I'm only interested in
Seeing you
All I have is yours
For days, my heart waits on you
Like good news knocking on the door. In the nights, all the tears head your way
In the eyes
To find you, to break you
In the nights, to bring you back to my body
So you'd sleep here on my chest",https://lyricstranslate.com/en/nemam-ja-nikoga-i-dont-have-anyone.html,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Branimir Mihaljević'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/nemam-ja-nikoga-3151.htm,Nemam ja nikoga,,,,"Danima, danima ja ne znam
Što me zanima
Na moj prozor sunce neće
Danima, svaki korak tebi kreće
Da sam sretna lažem ljudima

Noćima, tebi žure suze sve
U očima,
Da te nađu, da te slome
Noćima, da te vrate tijelu mome
Da mi spavaš tu na grudima

Jer nemam ja nikoga
Do tebe jednoga
Ne, nemam ja nikoga
Ljubav me izdala

E da si tu, da si tu
Da se sreća za mnom okrene
Jer nemam ja nikoga
Ti si život za mene

Danima, da te vidim
Samo to me zanima
Sve što imam sve je tvoje
Danima, tebe čeka srce moje
Kao dobru vijest na vratima

Noćima, tebi žure suze sve
U očima,
Da te nađu, da te slome
Noćima, da te vrate tijelu mome
Da mi spavaš tu na grudima",Nemam ja nikoga,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/nemam-ja-nikoga.html
16,4wxdBzAi_1_16,Maja Šuput & EnJoy,Maja Šuput,Nemam komentara,11683,"Usao si u moj zivot ko u stih
imas oci, ali ne vidis kroz njih
imas srce, duso, ali ga ne koristis
bio si u mom zivotu najbolji
dva put umre ko se jednom zaljubi
dva put umre, duso, ko se tako zaljubi
 
Ref.
Postavit' se mozes i na glavu
zena sam i znam da sam upravu
ti si taj sto bruku stvara
a vise nemam komentara

Kao dan si meni sto je bio los
sve sam tebi dala, sto bi htio jos
da te nosim, duso
kao da si zlatni bros

Ref.","https://tekstovi.net/2,630,8431.html",,,,,,,,['Denis Dumančić'],"['Denis Dumančić', 'Alka Vuica']",['Branimir Mihaljević'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/nemam-komentara-3010.htm,Nemam komentara,,,,,,
17,4wxdBzAi_1_17,Maja Šuput & EnJoy,Maja Šuput,Nije mi vazno,8469,"U slucaju da ti me ne volis
i na kraju pomislis
ja ne bih prezivjela to
u slucaju da Bog mi oprosti
za sve sto sam grijesila
ja sve bih sa tobom ponovo

Ref. 
I nije vazno sto ljudi misle o tom
nije mi, vjeruj, nije vazno
jer ja cu opet po svom
vazan si mi samo ti, moja ljubavi","https://tekstovi.net/2,630,15004.html",,,,,,,,['Denis Dumančić'],['Denis Dumančić'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/nije-mi-vazno-1733.htm,Nije mi važno,,,,"U slučaju da ti me ne voliš
I na kraju pomisliš
Ja ne bih preživjela to

U slučaju da bog mi oprosti
Za sve što sam griješila
Ja sve bih sa tobom ponovo

I nije važno što ljudi misle o tom
Nije mi, vjeruj, nije važno
Jer ja ću opet po svom
Važan si mi samo ti, moja ljubavi",Nije mi važno,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/nije-mi-vazno.html
18,4wxdBzAi_1_18,Maja Šuput & EnJoy,Maja Šuput,Obori me s' nogu,15614,"Ref.
Hajde, obori me s' nogu
pa da bez tebe ne mogu
bez tebe ne mogu

Njezno kao krila leptira
ja pozelim malo tvoga dodira
jer dodir srece trebam u vece
 
Ref.

Svaku izdrzat' cu krizu
samo ti mi budi blizu
budi uvijek blizu

","https://tekstovi.net/2,630,19782.html",,,,,,,,['Denis Dumančić'],"['Denis Dumančić', 'Faruk Buljubašić Fayo']","['Robert Vrbančić', 'G. Kovačić']",['Maja Šuput'],https://diskografija.com/pjesma/obori-me-s-nogu-10068.htm,Obori me s nogu,2006 - Zlatne Žice Slavonije 2006 - Večer pjesme i vina,2006 - Obori me s nogu,2006 - Hit Records Party,,,
19,4wxdBzAi_1_19,Maja Šuput & EnJoy,Maja Šuput,Onako kako ti to znas,16180,"Kao tresnje u proljece
obrazi mi se zarumene
kad si blizu pored mene
sve mi naopako krene

Klecaju mi koljena
ko da mi je petnaest godina
stalno za nesto zapinjem
pa stojim, nikud ne idem
 
Ref.
Jer volim kako 
izgovaras moje ime
gorim, da li znas 
od tvoje blizine
kad mi kazes: hej, kako si
nesto u meni malo poludi

Jer volim kako izgovaras 
moje ime
gorim, da li znas 
od tvoje blizine
zelim da mi to ponavljas
onako kako ti to znas

Klecaju mi koljena
ko da mi je petnaest godina
stalno za nesto zapinjem
pa stojim, nikud ne idem

Ref.

Zelim da mi to ponavljas
onako kako ti to znas
","https://tekstovi.net/2,630,15041.html",,,,,,,,['Marko Tomasović'],['Emilija Kokić'],['Aleksandar Valenčić'],['Maja Šuput'],https://diskografija.com/pjesma/onako-kako-ti-to-znas-2762.htm,Onako kako ti to znaš,,,,,,
20,4wxdBzAi_1_20,Maja Šuput & EnJoy,Maja Šuput,Ovo malo duse,8517,"Koju korist bi sada imala
da sam ko mene ti 
ja tebe izdala
zid samoce da sam sazidala

Ma nista bolje se ne bi dogodilo
sve nas je to na kraj 
precicom vodilo
previse me sve pogodilo
 
Kao trn u peti zasmetas
kada mi se u san dosetas

Ref.
Ovo malo duse sto je ostalo
sad bih tebi dala
kad bih znala 
da me volis imalo

Ovo malo duse sto je ostalo
neces, jer do mene
tebi nije
nije stalo ni malo

Grize li te bar savjest ikada
sto nisi volio svim srcem nikada
pola bola mog ti pripada

Kao trn u peti zasmetas
kada mi se u san dosetas

Ref. 2x
","https://tekstovi.net/2,630,15040.html",,,,,,,,['Denis Dumančić'],['Faruk Buljubašić Fayo'],['Davor Petrović'],['Maja Šuput'],https://diskografija.com/pjesma/ovo-malo-duse-10284.htm,Ovo malo duše,,,,,,
21,4wxdBzAi_1_21,Maja Šuput & EnJoy,Maja Šuput,"Pricaju, pricaju",10083,"Uvijek kad se tebe sjetim
sve je tuznije
protiv srca se ne ide
oci gledaju, al nikog drugog 
ne vide

Prijatelji stari svrate
pa se zapjeva
al ne daj da mi zivot prodje
dok mi opet korak tvoj
opet ne dodje
 
Ref.
I znam da pricaju, pricaju
lazu, varaju, da ja i bez tebe
sretna ostat cu
pricaju, pricaju, ljudi ne znaju
da falis mi, falis mi
cak i kad si tu

Ljudi dodju, ljudi odu
tuga ostaje 
sva se nasloni na mene
nema usana ni vina
da te zamjene

Sanjam ono cega nema
sto je tudje sad
vise ne znam sretna biti
sanjam tebe pa ne mogu
drugog ljubiti

Ref. 2x
","https://tekstovi.net/2,630,14827.html",,,,,,,,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Branimir Mihaljević'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/pricaju-pricaju-3152.htm,"Pričaju, pričaju",,,,"Uvijek kad se tebe sjetim
Sve je tužnije
Protiv srca se ne ide
Oči gledaju, al' nikog drugog
Ne vide

Prijatelji stari svrate
Pa se zapjeva
Al' ne daj da mi život prođe
Dok mi opet korak tvoj,
Opet ne dođe

I znam da pričaju, pričaju
Lažu, varaju, da ja i bez tebe
Sretna ostat ću
Pričaju, pričaju, ljudi ne znaju
Da fališ mi, fališ mi
Čak i kad si tu

Ljudi dođu, ljudi odu
Tuga ostaje, sva se nasloni
Na mene
Nema usana ni vina
Da te zamjene

Sanjam ono čega nema
Što je tuđe sad
Više ne znam sretna biti
Sanjam tebe pa ne mogu
Drugog ljubiti","Pričaju, pričaju",https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/pricaju-pricaju.html
22,4wxdBzAi_1_22,Maja Šuput & EnJoy,Maja Šuput,Sasava,12867,"Tko je pitao glave blesave
za godine
meni je dvadeset 
i tebi dvadeset
imamo zajedno cetrdeset

Izgorjela je vecer
kao plamen svijece
 
Ref.
Kad sam te poljubila
sva sam posasavila
ljubavi se napila 
sa tvojih usana
ali tvoje oci te
i druge su gledale
lagale me, lagale

Na rukavice 
kad pahuljice padaju
dolazi zima cini mi se hladnija
jer tebe, tebe mi nema tu

Sto cu majko sada
zaljubih se mlada

Ref. 3x
","https://tekstovi.net/2,630,14829.html",,,,,,,,['Denis Dumančić'],"['Denis Dumančić', 'Karmen Čačić']",['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/sasava-3150.htm,Šašava,,,,"Tko je pitao glave blesave
Za godine
Meni je dvadeset, i tebi dvadeset
Imamo zajedno četrdeset
na.. na.. izgorjela je večer
na.. na.. kao plamen svijeće

Kad sam te poljubila
Sva sam pošašavila
Ljubavi se napila
Sa tvojih usana
Ali tvoje oči te
I druge su gledale
Lagale me, lagale
aje...je... je...

Na rukavice kad pahuljice
Padaju
Dolazi zima čini mi se hladnija
Jer tebe, tebe mi nema tu
na... na... što ću majko sada
na... na... zaljubih se mlada",Šašava,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/sasava.html
23,4wxdBzAi_1_23,Maja Šuput & EnJoy,Maja Šuput,Smile & enjoy,6753,"Budi dobar, budi jos moj
jer ja zivim, zivim, zivim
zivim, zivim smile & enjoy

Ja znam da stotine ljudi ljubav izludi
ako ne postanu ludi bar ih probudi
nisam ni znala, ljubav donosi bol
pitam se kako, kako srcu je tvom
 
Ref.
Reci, reci jos jednu rijec 
da ubije bol na srcu mom
budi dobar budi jos moj
i zivi po onom smile & enjoy

Reci, reci jos jednu rijec
da ubije bol na srcu mom
budi dobar budi jos moj
jer ja zivim, zivim, zivim
zivim, zivim smile & enjoy

Mali, ti si slozio plan
da pokvaris mi jos jedan dan
al' nece moci, mali moj
ja zivim po onom smile & enjoy
ne bi ti dala, vraze, prijeci svoj prag
da nisi mi sladak, da nisi mi drag

Ref.","https://tekstovi.net/2,630,15080.html",,,,,,,,,,,,,,,,,"Budi dobar, budi još moj
Jer ja živim, živim, živim...
.. živim, živim smile & EnJoy

Ja znam da stotine ljudi
Ljubav izludi
Ako ne postanu ludi
Bar ih probudi
Nisam ni znala ljubav donosi bol
Pitam se kako, kako srcu je tvom?

Reci, reci još jednu riječ
Da ubije bol na srcu mom
Budi dobar, budi još moj
I živi po onom- smile & enjoy!

Reci, reci još jednu riječ
Da ubije bol na srcu mom
Budi dobar, budi još moj
Jer ja živim, živim, živim..
.. živim, živim smile & enjoy",Smile & EnJoy,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/smile-and-enjoy.html
24,4wxdBzAi_1_24,Maja Šuput & EnJoy,Maja Šuput,Sto je nebu bilo,10590,"Mnogim ljudima se posreci
srecu pronadju i u nesreci
mnogi momci znaju lagati
al' tako dobro ne, ni jedan kao ti

Ne vjerujem tebi ja 
vise nikada
 
Ref. 2x
Sto je nebu, sto je nebu bilo
kada me je s tobom spojilo
necu vise ja u tvoje krilo
kada si mi srce ranio

Iza kise skidam ja kabanicu
i, evo, okrecem novu stranicu
odlazim od ove zalosti
da sebi poklonim bar malo radosti","https://tekstovi.net/2,630,14998.html",,,,,,,,['Denis Dumančić'],['Denis Dumančić'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/sto-je-nebu-bilo-3148.htm,Što je nebu bilo,,,,"Mnogim ljudima se posreći
Sreću pronađu i u nesreći
Mnogi momci znaju lagati
Al' tako dobro ne ni jedan kao ti

Ne vjerujem tebi ja
Više nikada

Što je nebu
Što je nebu bilo
Kada me je s tobom spojilo
Neću više ja u tvoje krilo
Kada si mi srce ranio

Iza kiše skidam ja kabanicu
I evo okrečem novu stranicu
Odlazim od ove žalosti
Da sebi poklonim malo radosti

Ne vjerujem tebi ja
Više nikada",Što je nebu bilo,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/sto-je-nebu-bilo.html
25,4wxdBzAi_1_25,Maja Šuput & EnJoy,Maja Šuput,Svemu dodje kraj,11890,"Ljudi vole, al' ne kao ja
moje srce ljubav osjeca
i dok plakala bih ja
i kad bih se smijala
ljudi vole, al' ne kao ja

Ljudi vole, al' ne kao ja
ljubim otkad sam se rodila
prije nego umrem ja
tebe bi poljubila
svome dragom sunce donijela
 
Ref.
Svemu dodje kraj, svemu oprostaj
kad se zamraci sunce gubi sjaj
a kad osvane tuga nestane
moja ljubav samo, samo ostane

I dok plakala bih ja
i kad bih se smijala
ljudi vole, al' ne kao ja

Ref. 2x","https://tekstovi.net/2,630,14999.html",,,,,,,,,,,,,,,,,"Ljudi vole al' ne kao ja
Moje srce ljubav osjeća
I dok plakala bih ja
I kad bi se smijala
Ljudi vole al' ne kao ja

Ljudi vole al' ne kao ja
Ljubim otkad sam se rodila
Prije nego umrem ja
Tebe bi poljubila
Svome dragom sunce donijela

Svemu dođe kraj, svemu oproštaj
Kad se zamrači sunce gubi sjaj
A kad osvane, tuga nestane
Moja ljubav samo, samo ostane",Svemu dođe kraj,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/svemu-dodje-kraj.html
26,4wxdBzAi_1_26,Maja Šuput & EnJoy,Maja Šuput,Tebi mogu reci sve,11331,"Kad me pitaju slazem da me ne boli
i nesigurno tvoje ime tada izustim
u zivotu svom svega cu se odreci
jedino sto nikad necu, tebe prestat' voljeti

Ref. 2x
Nema srece, nema mi moja ljubavi
tebi mogu reci sve
al' da te ne volim 
to nikad, ne
 
Kad te neko spomene
i prica krene do mene
sjeti me na sretne dane
na jorgovane

Ref.","https://tekstovi.net/2,630,15000.html",,,,,,,,['Denis Dumančić'],['Denis Dumančić'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/tebi-mogu-reci-sve-3149.htm,Tebi mogu reći sve,,,,"Kad me pitaju, slažem da me ne boli
I nesigurno tvoje ime tada izustim
U životu svom, svega ću se odreći, mmmmm
Jedino što nikad neću tebe prestat voljeti

I nema, sreće nema mi, moja ljubavi
Tebi mogu reći sve
Al' da te ne volim to nikad ne

Kad te neko spomene i priča krene do mene, mmmm
Sjeti me na sretne dane, na jorgovane, ne, ne, ne",Tebi mogu reći sve,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/tebi-mogu-reci-sve.html
27,4wxdBzAi_1_27,Maja Šuput & EnJoy,Maja Šuput,"Ti mi, ti mi (duet Darus)",7991,"Reci mi, da li znas da te zelim
cijelu noc, cijeli dan
duso samo tebi pripadam

Priznaj mi, da i ti zelis mene
ludo, najludje
da su ti usne moje najsladje
 
Reci, volim te
reci, molim te

Ref.
Ti mi, ti mi, ti mi
znacis toliko
koliko je plavo nebo visoko
ti mi, ti mi, ti mi
trebas toliko
koliko je plavo more duboko

Reci mi, da li znas da te zelim
cijelu noc, cijeli dan
duso samo tebi pripadam

Priznaj mi, da i ti zelis mene
ludo, najludje
da su ti usne moje najsladje

Reci, volim te
reci, molim te

Ref. 4x
","https://tekstovi.net/2,630,15039.html",,,,,,,,"['B. Andersson', 'B. Ulvaens']",['Darus Despot'],['Marko J. Kon'],['Maja Šuput'],https://diskografija.com/pjesma/ti-mi-ti-mi-10287.htm,"Ti mi, ti mi",,,,,,
28,4wxdBzAi_1_28,Maja Šuput & EnJoy,Maja Šuput,To je to,8416,"Napola je mjesec puk'o
napola kao jabuka
po nebu je zvijezde vuko
od juga sve do sjevera

Imam dragog, al' sam sama
ne vidim ga sedam dana
hej, da l' je kod druge
kisa pada, prozor moci
od nje mi se sjaje oci
hej, dodji do mene
 
Ref. 2x
Ljubavi me vino opilo
vino slatko, vino crveno
to je to, to je to
to je to, volim te i gotovo

Spustila se magla gusta
vidim te i kroz oblake
tebe su mi zedna usta
andjele, moj andjele","https://tekstovi.net/2,630,15083.html",,,,,,,,['Miro Buljan'],['Nenad Ninčević'],['Davor Petrović'],['Maja Šuput'],https://diskografija.com/pjesma/to-je-to-10283.htm,To je to,,,,,,
29,4wxdBzAi_1_29,Maja Šuput & EnJoy,Maja Šuput,Uzalud,9723,"Kad srce srcu zbogom kaze
onda se ljudi rastaju
okrenu ledja jedno drugom
pa krenu i ne zastaju

Ja tebi ne znam reci zbogom
i ne znam se okrenuti
a koliko sam puta rekla
da necu te spomenuti
 
Ref.
Uzalud, kad te vidim srce stane
stara vatra opet plane
i ne znam se pomaknuti

Uzalud, kad te vidim srce stane
sve i da mi suza kane
nece te dotaknuti

Ja tebi ne znam reci zbogom
i ne znam se okrenuti
a koliko sam puta rekla
da necu te spomenuti

Ref. 2x
","https://tekstovi.net/2,630,14828.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Branimir Mihaljević'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/uzalud-3153.htm,Uzalud,1999 - Dora 1999,2000 - Joy,,"Kad srce srcu zbogom kaže
Onda se ljudi rastaju
Okrenu leđa jedno drugom
Pa krenu i ne zastaju

Ja tebi ne znam reći zbogom
I ne znam se okrenuti
A koliko sam puta rekla
Da neću te spomenuti

Uzalud, kad te vidim srce stane
Stara vatra opet plane
I ne znam se pomaknuti
O,o,o, uzalud, kad te vidim srce stane
Sve i da mi suza kane
Neće te dotaknuti",Uzalud,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/uzalud.html
30,4wxdBzAi_1_30,Maja Šuput & EnJoy,Maja Šuput,Uzmi me,11489,"Gdje si ti, nesreco
srce mi je ranjeno
nikoga ne vidim ja
dusu da mi sacuva

Dukati, biseri
nisu mi najvazniji
jednu noc da mi das
dusu da mi poslusas
 
Ref.
Uzmi me, uzmi me
jako, jace, najjace
kad ti dan uzme noc
ja te zovem upomoc

Uzmi me, uzmi me
noci su mi najgore
kad ti dan otme noc
tebe zovem upomoc

A gdje si ti, nesreco
srce mi je ranjeno
nikoga ne vidim ja
dusu da mi sacuva

Dukati, biseri
nisu mi najvazniji
jednu noc da mi das
dusu da mi poslusas

Ref. 2x
","https://tekstovi.net/2,630,15043.html",,,,,,,,['Marko Tomasović'],['Marko Tomasović'],['Aleksandar Valenčić'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/uzmi-me-1731.htm,Uzmi me,,,,"Gdje si ti nesrećo
Srce mi je ranjeno
Nikoga ne vidim ja
Dušu da mi sačuva

Dukati, biseri
Nisu mi najvažniji
Jednu noć da mi daš
Dušu da mi poslušaš

Uzmi me, uzmi me
Jako, jače, najjače
Kad ti dan uzme noć
Ja te zovem upomoć

Uzmi me, uzmi me
Noći su mi najgore
Kad ti dan otme noć
Tebe zovem upomoć!",Uzmi me,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/uzmi-me.html
