Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Written By_discogs,Flute_discogs,Translated By_discogs,Arranged By_discogs,Conductor_discogs,Orchestra_discogs,Adapted By_discogs,Adapted By (Text)_discogs,Translated By [Uncredited]_discogs,Adapted By (Text) [Uncredited]_discogs,Written-By [Original Lyrics/Uncredited]_discogs,Adapted By (Text) [Adapt.]_discogs,Choir_discogs,Backing Vocals_discogs,Lyrics By [A1]_discogs,Lyrics By [A2]_discogs,Lyrics By [A3]_discogs,Lyrics By [A4]_discogs,Lyrics By [A6]_discogs,Lyrics By [A7]_discogs,Music By [A1_discogs,A2_discogs,A3_discogs,A4_discogs,A6_discogs,A7]_discogs,Written-By [A5_discogs,A8]_discogs,Lyrics By [B1_discogs,B2_discogs,B5]_discogs,Lyrics By [B3]_discogs,Lyrics By [B4]_discogs,Lyrics By [B6]_discogs,Lyrics By [B7]_discogs,Music By [B1]_discogs,Music By [B2_discogs,Music By [B3_discogs,B6_discogs,B7]_discogs,Music By [B4]_discogs,Featuring_discogs,Written By [Lyrics]_discogs,Composed By_discogs,Soloist_discogs,Lyrics By [Original German]_discogs,Lyrics By [Original Italian]_discogs,Lyrics By [Original English]_discogs,Performer_discogs,Songwriter_discogs,Album_year_title_discogs,All_albums_discogs
Tereza Kesovija,Tereza Kesovija,Грустный Вальс,,,Грустный Вальс / Дети Пирея,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Грустный Вальс / Дети Пирея,nan-Грустный Вальс / Дети Пирея/nan-Сувенир
Tereza Kesovija,Tereza Kesovija,Дети Пирея,,,Грустный Вальс / Дети Пирея,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Грустный Вальс / Дети Пирея,nan-Грустный Вальс / Дети Пирея/nan-Сувенир
Tereza Kesovija,Tereza Kesovija,Сувенир,,,Сувенир,,,,Л. Лютаци,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Сувенир,nan-Сувенир/0.0-Сувенир / Незнакомец
Tereza Kesovija,Tereza Kesovija,Незнакомец,,,Сувенир,,,,В. Харис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Сувенир,nan-Сувенир/0.0-Сувенир / Незнакомец
Tereza Kesovija,Tereza Kesovija,Chitarra Romana (Gitara Romana),,,Gitara Romana,Olivera Živković,Eldo Di Lazzaro,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Gitara Romana,1963.0-Gitara Romana
Tereza Kesovija,Tereza Kesovija,Montecarlo (Monte Karlo),,,Gitara Romana,Ivica Krajač,Pino Calvi,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Gitara Romana,1963.0-Gitara Romana
Tereza Kesovija,Tereza Kesovija,Pomrčina (Eclisse Twist),,,Gitara Romana,Igor Krimov,Giovanni Fusco,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Gitara Romana,1963.0-Gitara Romana
Tereza Kesovija,Tereza Kesovija,Baka Magdalena (La Nona Magdalena),,,Gitara Romana,Ivica Krajač,Vito Pallavicini,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Gitara Romana,1963.0-Gitara Romana
Tereza Kesovija,Tereza Kesovija,Vrijeme Za Twist (Twistin' The Twist),,,Vrijeme Za Twist,Mario Panzeri,Giuseppe Mengozzi,1963.0,,,Arsen Dedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Vrijeme Za Twist,1963.0-Vrijeme Za Twist
Tereza Kesovija,Tereza Kesovija,Želja Skrivena Na Nebu (Tu Sei L'Orizzonte),,,Vrijeme Za Twist,Alberto Testa,Corrado Lojacono,1963.0,,,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Vrijeme Za Twist,1963.0-Vrijeme Za Twist
Tereza Kesovija,Tereza Kesovija,Renato,,,Vrijeme Za Twist,Alberto Testa,Alberto Cortez,1963.0,,,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Vrijeme Za Twist,1963.0-Vrijeme Za Twist
Tereza Kesovija,Tereza Kesovija,Libelaj (Liebelei),,,Vrijeme Za Twist,Tritono,Daisy Lumini,1963.0,,,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0-Vrijeme Za Twist,1963.0-Vrijeme Za Twist
Tereza Kesovija,Tereza Kesovija,Rastanimo Se,,,Rastanimo Se / Jesenji Dažd (Zagreb 63),Dragutin Britvić,Mario Bogliuni,,,,,Ferdo Pomykalo,Ferdo Pomykalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Rastanimo Se / Jesenji Dažd (Zagreb 63),nan-Rastanimo Se / Jesenji Dažd (Zagreb 63)
Tereza Kesovija,Tereza Kesovija,Jesenji Dažd,,Milan Lentić,Rastanimo Se / Jesenji Dažd (Zagreb 63),,,,,,,Stipica Kalogjera,Miljenko Prohaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Rastanimo Se / Jesenji Dažd (Zagreb 63),nan-Rastanimo Se / Jesenji Dažd (Zagreb 63)
Tereza Kesovija,Tereza Kesovija,Četiri Haljine,,,Četiri Haljine,Mario Kinel,Ennio Morricone,1964.0,,,,Nikica Kalogjera,Miljenko Prohaska,Plesni Orkestar RTV Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0-Četiri Haljine,1964.0-Četiri Haljine/2005.0-Mojih 45 Skalina
Tereza Kesovija,Tereza Kesovija,Postao Si Navika,,,Četiri Haljine,Ivica Krajač,Mort Shuman,1964.0,,,,Mario Nardelli,,Zabavni Ansambl Marija Nardellija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0-Četiri Haljine,1964.0-Četiri Haljine/2015.0-50 Originalnih Pjesama
Tereza Kesovija,Tereza Kesovija,Ne Traži Da Ne Znam Tko Si,,,Četiri Haljine,Ivica Krajač,Ezio Leoni,1964.0,,,,Stipica Kalogjera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0-Četiri Haljine,1964.0-Četiri Haljine
Tereza Kesovija,Tereza Kesovija,Tango Mora,,,Četiri Haljine,Ivica Krajač,P.G. Redi,1964.0,,,,Stipica Kalogjera,Nikica Kalogjera,Zabavni Orkestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0-Četiri Haljine,1964.0-Četiri Haljine
Tereza Kesovija,Tereza Kesovija,Et C'est Pour Toi,1:55,Serge Lama,"Non, Ce N'Est Pas Toi",,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1965.0-Non, Ce N'Est Pas Toi","1965.0-Non, Ce N'Est Pas Toi/1966.0-Bien Plus Fort / Et C'est Pour Toi/nan-Bien Plus Fort/1967.0-Tereza/2020.0-Anthologie 1965-1978"
Tereza Kesovija,Tereza Kesovija,Il Suffira,2:20,Serge Lama,"Non, Ce N'Est Pas Toi",,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1965.0-Non, Ce N'Est Pas Toi","1965.0-Non, Ce N'Est Pas Toi/1967.0-Tereza/2020.0-Anthologie 1965-1978"
Tereza Kesovija,Tereza Kesovija,Madre Mia,2:20,Pierre Delanoë,"Non, Ce N'Est Pas Toi",,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1965.0-Non, Ce N'Est Pas Toi","1965.0-Non, Ce N'Est Pas Toi/1967.0-Tereza/2020.0-Anthologie 1965-1978"
Tereza Kesovija,Tereza Kesovija,"Non, Ce N'est Pas Toi",2:30,Serge Lama,"Non, Ce N'Est Pas Toi",,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1965.0-Non, Ce N'Est Pas Toi","1965.0-Non, Ce N'Est Pas Toi/2020.0-Anthologie 1965-1978"
Tereza Kesovija,Tereza Kesovija,Doći Ćeš Sam (Tu Viens De Très Loin),,Pierre Delanoë,Doći Ćeš Sam,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Doći Ćeš Sam,1966.0-Doći Ćeš Sam
Tereza Kesovija,Tereza Kesovija,Tad Pođimo (Nous Partirons),,Yves Stéphane,Doći Ćeš Sam,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Doći Ćeš Sam,1966.0-Doći Ćeš Sam
Tereza Kesovija,Tereza Kesovija,Još Mnogo Jače (Bien Plus Fort),,Jean-Max Rivière,Doći Ćeš Sam,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Doći Ćeš Sam,1966.0-Doći Ćeš Sam
Tereza Kesovija,Tereza Kesovija,Madre Mia (Moja Majko),,Pierre Delanoë,Doći Ćeš Sam,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Doći Ćeš Sam,1966.0-Doći Ćeš Sam
Tereza Kesovija,Tereza Kesovija,Tu Viens De Trés Loin,,,Tu Viens De Trés Loin,Pierre Delanoë,Emil Stern,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Tu Viens De Trés Loin,1966.0-Tu Viens De Trés Loin
Tereza Kesovija,Tereza Kesovija,Quand L'Amour Veut Partir,,,Tu Viens De Trés Loin,Michèle Vendôme,Vincent Scotto,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Tu Viens De Trés Loin,1966.0-Tu Viens De Trés Loin
Tereza Kesovija,Tereza Kesovija,"Bonjour, Ma Chérie",,,Tu Viens De Trés Loin,Jean Dréjac,Nikica Kalogjera,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Tu Viens De Trés Loin,1966.0-Tu Viens De Trés Loin/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Un Mouchoir Au Vent,,,Tu Viens De Trés Loin,René Rouzaud,Emil Stern,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Tu Viens De Trés Loin,1966.0-Tu Viens De Trés Loin/1967.0-Tereza/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Dammi Un Po' D'Amor (Donne-Moi L' Amour),2:25,,Dammi Un Po' D'Amor	,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Dammi Un Po' D'Amor	,1966.0-Dammi Un Po' D'Amor	
Tereza Kesovija,Tereza Kesovija,Piu' D' Ogni Cosa (Bien Plus Fort),2:00,,Dammi Un Po' D'Amor	,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Dammi Un Po' D'Amor	,1966.0-Dammi Un Po' D'Amor	
Tereza Kesovija,Tereza Kesovija,Bien Plus Fort,1:55,,Ce Disque N'est Pas Comme Les Autres,Gérard Bourgeois,Jean-Max Rivière,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Ce Disque N'est Pas Comme Les Autres,1966.0-Ce Disque N'est Pas Comme Les Autres/1966.0-Bien Plus Fort / Et C'est Pour Toi/nan-Bien Plus Fort/nan-Bien Plus Fort / Nous Partirons/1967.0-Tereza/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Bien Plus Fort (Version Orchestre),1:55,,Ce Disque N'est Pas Comme Les Autres,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Ce Disque N'est Pas Comme Les Autres,1966.0-Ce Disque N'est Pas Comme Les Autres
Tereza Kesovija,Tereza Kesovija,Aux Jeunes Loups,3:25,,Ce Disque N'est Pas Comme Les Autres,Jean-Claude Annoux,Jean-Claude Annoux,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Ce Disque N'est Pas Comme Les Autres,1966.0-Ce Disque N'est Pas Comme Les Autres
Tereza Kesovija,Tereza Kesovija,Aux Jeunes Loups (Version Orchestre),3:25,,Ce Disque N'est Pas Comme Les Autres,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Ce Disque N'est Pas Comme Les Autres,1966.0-Ce Disque N'est Pas Comme Les Autres
Tereza Kesovija,Tereza Kesovija,Donne Moi L'Amour,,Serge Lama,Donne Moi L'Amour,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Donne Moi L'Amour,1966.0-Donne Moi L'Amour
Tereza Kesovija,Tereza Kesovija,Les Enfants D'aujourd'hui,,Serge Lama,Donne Moi L'Amour,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Donne Moi L'Amour,1966.0-Donne Moi L'Amour/1967.0-Tereza/2013.0-Parkovi/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Nous Partirons,,Yves Stéphane,Donne Moi L'Amour,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Donne Moi L'Amour,1966.0-Donne Moi L'Amour/nan-Bien Plus Fort / Nous Partirons/1967.0-Tereza/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Comme Avant,,Serge Lama,Donne Moi L'Amour,,,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0-Donne Moi L'Amour,1966.0-Donne Moi L'Amour/2013.0-Parkovi/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Tu Viens De Tres Loin,2:40,Pierre Delanoë,Bien Plus Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Bien Plus Fort,nan-Bien Plus Fort/1967.0-Tereza
Tereza Kesovija,Tereza Kesovija,Demain (Una Casa In Cima Al Mondo),3:00,Vito Pallavicini,Bien Plus Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Bien Plus Fort,nan-Bien Plus Fort/1967.0-Tereza
Tereza Kesovija,Tereza Kesovija,C'est Ma Chanson (This Is My Song),2:15,Charlie Chaplin,C'est Ma Chanson,Pierre Delanoë,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-C'est Ma Chanson,1967.0-C'est Ma Chanson/1967.0-C'est Ma Chanson / Bonjour Ma Cherie/0.0-C'est Ma Chanson / Viens Me Retrouver
Tereza Kesovija,Tereza Kesovija,Le Soleil Me Brule Les Mains,2:10,Tereza Kesovija,C'est Ma Chanson,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-C'est Ma Chanson,1967.0-C'est Ma Chanson/1968.0-C'est Ma Chanson
Tereza Kesovija,Tereza Kesovija,Viens Me Retrouver,2:30,Jacques Demarny,C'est Ma Chanson,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-C'est Ma Chanson,1967.0-C'est Ma Chanson/1968.0-C'est Ma Chanson/2020.0-Anthologie 1965-1978/0.0-C'est Ma Chanson / Viens Me Retrouver
Tereza Kesovija,Tereza Kesovija,Le Village Abandonné (Quando Il Sole Chiude Gli Occhi),2:40,Vito Pallavicini,C'est Ma Chanson,Pierre Delanoë,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-C'est Ma Chanson,1967.0-C'est Ma Chanson/1967.0-Le Soleil Me Brûle Les Mains
Tereza Kesovija,Tereza Kesovija,Maintenant Je Chante (Il Pontile),,Marcello Marrocchi,Maintenant Je Chante,Franck Gérald,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Maintenant Je Chante,1967.0-Maintenant Je Chante
Tereza Kesovija,Tereza Kesovija,"L'Oiseau Blanc, L'Oiseau Bleu",,Albert Lasry,Maintenant Je Chante,Pierre Delanoë,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Maintenant Je Chante,1967.0-Maintenant Je Chante
Tereza Kesovija,Tereza Kesovija,Les Enfants De Chez Moi,,Emil Stern,Maintenant Je Chante,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Maintenant Je Chante,1967.0-Maintenant Je Chante/2020.0-Anthologie 1965-1978/0.0-Les Enfants De Chez Moi
Tereza Kesovija,Tereza Kesovija,Ce Matin-La,,Emil Stern,Maintenant Je Chante,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Maintenant Je Chante,1967.0-Maintenant Je Chante
Tereza Kesovija,Tereza Kesovija,Le Soleil Me Brûle Les Mains,2:10,Tereza Kesovija,Le Soleil Me Brûle Les Mains,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Le Soleil Me Brûle Les Mains,1967.0-Le Soleil Me Brûle Les Mains/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Nima Splita Do Splita,,,Nima Splita Do Splita,Ivica Krajač,Nikica Kalogjera,1967.0,,,,Nikica Kalogjera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Nima Splita Do Splita,"1967.0-Nima Splita Do Splita/nan-Moja Splitska Ljeta/nan-Gdje Ima Srca, Tu Sam I Ja/2000.0-Ja Sam Pjesma (Najljepše Mediteranske Melodije)/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2018.0-Moja Splitska Ljeta"
Tereza Kesovija,Tereza Kesovija,"La Chanson De Lara (Du Film ""Docteur Jivago"")",,,Tereza,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Tereza,1967.0-Tereza
Tereza Kesovija,Tereza Kesovija,On Se Quitte Pour Une Heure Ou Deux,,,Tereza,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Tereza,1967.0-Tereza/nan-La Chanson De Lara 
Tereza Kesovija,Tereza Kesovija,Avant Que L'amour,,,Tereza,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Tereza,1967.0-Tereza/nan-La Chanson De Lara /2013.0-Parkovi/2020.0-Anthologie 1965-1978
Tereza Kesovija,Tereza Kesovija,Bonjour Ma Cherie,2:20,Nikica Kalogjera,C'est Ma Chanson / Bonjour Ma Cherie,,,1967.0,Nikica Kalogiera - J. Dréjac,,,,,,,,Jean Dréjac,Jean Dréjac,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-C'est Ma Chanson / Bonjour Ma Cherie,1967.0-C'est Ma Chanson / Bonjour Ma Cherie
Tereza Kesovija,Tereza Kesovija,Cara Felicita,,,Cara Felicita/Ed E Per Te,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Cara Felicita/Ed E Per Te,1967.0-Cara Felicita/Ed E Per Te
Tereza Kesovija,Tereza Kesovija,Ed E Per Te,,,Cara Felicita/Ed E Per Te,,,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0-Cara Felicita/Ed E Per Te,1967.0-Cara Felicita/Ed E Per Te
Tereza Kesovija,Tereza Kesovija,Larina Pjesma (La Chanson De Lara),,Paul Francis Webster,Larina Pjesma,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Larina Pjesma,nan-Larina Pjesma/2012.0-Najljepše Ljubavne Pjesme
Tereza Kesovija,Tereza Kesovija,Ljubavi Mi Daj (Donne Moi L'Amour),,Serge Lama,Larina Pjesma,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Larina Pjesma,nan-Larina Pjesma
Tereza Kesovija,Tereza Kesovija,Djelić Sekunde (Il Suffira),,Serge Lama,Larina Pjesma,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Larina Pjesma,nan-Larina Pjesma
Tereza Kesovija,Tereza Kesovija,Tražim Te (Tražim Te),,Alfi Kabiljo,Larina Pjesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Larina Pjesma,nan-Larina Pjesma
Tereza Kesovija,Tereza Kesovija,"La Chanson De Lara (Thème Du Film ""Le Docteur Jivago"")",,Paul Francis Webster,La Chanson De Lara ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-La Chanson De Lara ,nan-La Chanson De Lara 
Tereza Kesovija,Tereza Kesovija,Il Arrivait D'Angleterre,,Serge Lama,La Chanson De Lara ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-La Chanson De Lara ,nan-La Chanson De Lara /2020.0-Anthologie 1965-1978/0.0-La Chanson De Lara
Tereza Kesovija,Tereza Kesovija,Larina Pjesma,,,Larina Pjesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Larina Pjesma,nan-Larina Pjesma/nan-To Je Tereza.../2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2018.0-The Best Of Collection
